iteracao,y_hat_mistakes,y_hat_syntax
30,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 4 3 3 3 4 3 4 4 3 4 3 4 4 3 3 2 4 3 2]
31,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 4 4 3 4 4 4 4 4 4 4 3 4 4 3 3 2 4 4 2]
32,[2 1 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 4 3 3 2 4 4 2]
33,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 2 4 4 2]
34,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 3 4 4 4 4 4 4 4 4 4 4 3 3 2 4 4 3]
35,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
36,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
37,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
38,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
39,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
40,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
41,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
42,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
43,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
44,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
45,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
46,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
47,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
48,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
49,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
50,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
51,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 4]
52,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
53,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
54,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
55,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
56,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 4]
57,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2],[2 2 4 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 4]
58,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
59,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
60,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 2]
61,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
62,[2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 4 2 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
63,[1 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
64,[1 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
65,[1 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 2 4 4 2]
66,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
67,[2 1 2 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
68,[1 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 4 4 2]
69,[2 1 1 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 2 4 4 2]
70,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
71,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
72,[2 1 1 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
73,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
74,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
75,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
76,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 4]
77,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
78,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
79,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 4]
80,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 4]
81,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 4 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 4]
82,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 4 3]
83,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3]
84,[2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 3]
85,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 3 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
86,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 4]
87,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 4 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
88,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
89,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 3 2 4 4 2]
90,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2]
91,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 3 4 3 4 4 4 4 4 4 4 4 4 4 4 3 2 4 4 2]
92,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 4 4 4 4 4 4 4 4 4 4 2 4 4 2 4 4 2]
93,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 3 4 3 4 4 4 4 4 4 4 4 4 2 3 4 2 4 4 2]
94,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 4 4 3 4 4 4 4 4 4 4 3 4 3 2 3 2 4 4 2]
95,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 2 2 3 2 4 4 2]
96,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 4 4 4 2 3 3 2 4 3 2]
97,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 4 4 4 4 2 2 3 2 4 3 2]
98,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 4 4 4 2 4 3 2 4 4 2]
99,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 3 4 3 4 4 4 4 4 4 3 4 4 2 3 3 2 4 3 2]
100,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 4 4 3 4 2 3 3 2 4 4 2]
101,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 4 4 4 3 3 3 2 4 4 2]
102,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 3 4 2 3 3 2 4 4 2]
103,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 3 4 3 4 3 2 4 4 2]
104,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 4 4 4 3 3 3 2 4 3 2]
105,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 3 4 2 3 3 2 4 3 2]
106,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 2 4 3 4 4 4 4 4 4 4 3 4 2 2 3 2 4 4 2]
107,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 3 4 2 2 3 2 4 3 2]
108,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 3 4 2 3 3 2 4 3 2]
109,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 3 4 4 4 2 3 3 2 4 4 2]
110,[2 1 2 1 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 2 4 2 4 4 4 4 3 4 4 3 4 2 3 3 2 4 3 2]
111,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 2 3 4 2 2 3 2 4 3 2]
112,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 4 3 4 3 3 3 2 4 3 2]
113,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 3 4 2 4 4 4 4 4 4 4 4 4 2 3 3 2 4 4 2]
114,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 3 2 3 2 4 4 2]
115,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 4 4 4 3 2 4 2 4 2 2]
116,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 2 3 3 2 4 3 2]
117,[2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 4 4 2 3 3 2 4 3 2]
118,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 2 3 4 3 4 4 4 4 4 4 4 4 4 2 2 3 2 4 4 2]
119,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 4 3 3 2 4 4 2]
120,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 4 4 3 2 4 3 2]
121,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 3 3 4 3 4 4 4 4 4 4 4 4 4 3 3 3 2 4 3 2]
122,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 3 4 4 4 4 4 4 4 4 4 4 4 3 4 4 2 4 4 2]
123,[2 1 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[2 2 2 2 2 2 2 4 4 4 3 4 4 4 4 4 4 3 4 4 4 3 3 2 4 4 2]
